# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Sets the color of the secondary Fresnel intensity.;设置二次菲涅尔强度的颜色。
Sets the intensity of the horizon occlusion effect, which reduces light leaking from backwards facing vectors in the normal map.;设置地平线遮蔽效果的强度，可减少法线贴图中朝后向量产生的光线泄漏。
The texture that controls the thickness of the outer surface layer. This affects the interference pattern, as higher thicknesses display more "rings".;控制外表面层厚度的纹理。这会影响干涉图案，因为厚度越大显示的“环”越多。
Determines which channel of the texture will be used for the thickness map.;确定厚度贴图使用的纹理通道。
Sets the intensity of the interference effect.;设置干涉效果的强度。
Controls the thickness of the outer surface layer. This affects the interference pattern, as higher thicknesses display more "rings".;控制外表面层的厚度。这会影响干涉图案，因为厚度越大显示的“环”越多。
Sets lower bound thickness that corresponds to the lowest value in the thickness map.;设置与厚度贴图中最低值对应的厚度下限。
Allows you to control reflectivity with index of refraction values.;允许你用折射率值控制反射率。
Sets the color and intensity of the extinction effect.;设置消光效果的颜色和强度。
The advanced metalness model is similar to the metalness model, but provides extra control over specular reflection intensity for insulators or non-metals.;高级金属度模型与金属度模型相似，但为绝缘体或非金属提供了对高光反射强度的额外控制。
The texture input that will be used to set the reflectivity value for insulators or non-metals.;用于设置绝缘体或非金属反射率值的纹理输入。
Determines which channel of the texture will be used for the specular map content.;确定高光贴图内容使用的纹理通道。
Sets the reflectivity value for insulators or non-metals.;设置绝缘体或非金属的反射率值。
Inverts the metalness value so that white defines insulators and black defines metals.;反转金属度值，使白色定义绝缘体，黑色定义金属。
Adds a curve to the specular input to match the Frostbite engine. When the slider is set to 0.16, a gray value of 128 equates to 4% reflectivity.;为高光输入添加曲线以匹配寒霜（Frostbite）引擎。当滑块设为 0.16 时，灰度值 128 相当于 4% 反射率。
The texture that will be used to set the metalness value. Black defines non-metals or insulators, while white defines metals.;用于设置金属度值的纹理。黑色定义非金属或绝缘体，白色定义金属。
Sets the metalness value, which should generally be 0 for insulators or 1 for metals. When a metalness map is loaded, this value should be set to 1.;设置金属度值，绝缘体通常应为 0，金属应为 1。加载金属度贴图时，此值应设为 1。
Determines which channel of the texture will be used for the metalness map.;确定金属度贴图使用的纹理通道。
The specular map model provides an input to set the explicit specular reflection intensity and color. If your material has a specular map, use this model.;高光贴图模型提供输入来设置显式的高光反射强度和颜色。如果你的材质有高光贴图，请使用此模型。
The texture that will be used to set the color and intensity of the specular reflections.;用于设置高光反射颜色和强度的纹理。
Specifies color channel(s) to use in the specular map.;指定高光贴图中使用的颜色通道。
Sets the intensity of the specular reflections.;设置高光反射的强度。
Sets the color and intensity of the specular reflections.;设置高光反射的颜色和强度。
Sets the intensity of the Fresnel effect, or how reflective surfaces are at grazing angles.;设置菲涅尔效果的强度，即表面在掠射角下的反射程度。
Sets the color and intensity of the Fresnel effect.;设置菲涅尔效果的颜色和强度。
Energy conservation darkens the albedo map to ensure that the sum of diffuse and specular light is not greater than the amount of light that hits the object.;能量守恒会使反照率贴图变暗，以确保漫反射光与高光之和不超过照射到物体上的光量。
Flat subdivision tessellates the geometry without altering its shape.;平面细分会对几何体进行细分而不改变其形状。
Sets the level of tessellation or geometry limit for sub-division.;设置细分的细分级别或几何体限制。
This computer does not support this feature.;此计算机不支持此功能。
PN Triangles subdivision tessellates the geometry and attempts to smooth the silhouette.;PN 三角形细分会对几何体进行细分，并尝试平滑轮廓。
Sets the intensity of the PN Triangles effect, which tessellates geometry while smoothing the surface.;设置 PN 三角形效果的强度，该效果在平滑表面时对几何体进行细分。
Standard normal mapping for per-pixel lighting, with an additional detail normal map slot.;用于逐像素照明的标准法线贴图，外加一个额外的细节法线贴图槽位。
A second normal map to provide additional detail.;提供额外细节的第二张法线贴图。
The UV set that will be used for the micro detail normal map.;用于微细节法线贴图的 UV 集。
Remaps vector data from the range [0,1] to [-1,1]. Disable this when using floating-point textures.;将矢量数据从 [0,1] 范围重新映射到 [-1,1]。使用浮点纹理时禁用此选项。
Inverts the content in the X axis, or red channel, of the texture.;反转纹理 X 轴（红色通道）中的内容。
